cz,Name,Household_Income_at_Age_35_rNA_gM_p25
cz31101,Victoria,54093
cz22400,Sheboygan,52872
cz2300,Lynchburg,49104
cz4004,Many,46415
cz26412,Williston,42791
cz13900,Center,40464
cz11002,Atmore,40392
cz30802,Lubbock,37609
cz7200,Cape Coral,37410
cz3400,Houma,37396
cz1702,Henderson,37225
cz32501,Abilene,37039
cz19901,Dover,36257
cz18100,Elmira,35983
cz32100,Beaumont,35850
cz2700,Gulfport,35825
cz31401,Midland,35783
cz19000,Allentown,35489
cz32601,Wichita Falls,34725
cz11102,Troy,34195
cz31301,San Antonio,33906
cz4002,Shreveport,33904
cz29503,St. Joseph,33894
cz12001,Big Rapids,33402
cz11001,Mobile,33150
cz30000,Russellville,32845
cz32000,Houston,32834
cz19500,Toms River,32772
cz7100,Port St. Lucie,32675
cz33400,Longview,32585
cz3600,Alexandria,32537
cz29501,Leavenworth,32520
cz32201,Huntsville,32045
cz11500,Jackson,32043
cz11401,Marquette,32002
cz33000,Fort Worth,31897
cz38502,Wenatchee,31868
cz14900,Gary,31796
cz24900,Edwardsville,31754
cz29403,Bartlesville,31741
cz30501,Woodward,31594
cz18800,Scranton,31454
cz30100,Fort Smith,31321
cz23801,Davenport,31204
cz33700,Ardmore,31170
cz20302,Claremont,31135
cz23900,Peoria,31110
cz18600,Albany,30984
cz3500,Baton Rouge,30872
cz8503,Valdosta,30790
cz8202,Charleston,30777
cz20800,Springfield,30656
cz6000,Huntsville,30563
cz26411,Sidney,30421
cz33602,Altus,30385
cz11800,Mount Pleasant,30367
cz35701,Twin Falls,30340
cz30904,Pampa,30267
cz29005,Hutchinson,30150
cz10000,Panama City,30142
cz29901,Joplin,30108
cz33500,Texarkana,30008
cz25102,West Plains,30002
cz33801,Elk City,29976
cz33902,Sherman,29927
cz34805,Alamosa,29717
cz5800,Dickson,29684
cz29303,Winfield,29617
cz6502,Cleveland,29599
cz34601,Gillette,29461
cz700,Spartanburg,29352
cz20002,Calais,29266
cz16400,Youngstown,29263
cz30701,Roswell,29240
cz11403,Sault Ste. Marie,29162
cz9400,Gainesville,29065
cz30402,Tulsa,29044
cz28800,Fort Collins,28908
cz30200,Muskogee,28893
cz19100,Reading,28821
cz30601,El Paso,28808
cz38000,San Diego,28804
cz37500,San Jose,28754
cz7700,Lake City,28690
cz20600,Manchester,28494
cz13700,Concord,28342
cz1202,Sylva,28258
cz21004,Rhinelander,28180
cz30300,Fayetteville,28128
cz15100,Lorain,28090
cz6100,Gadsden,28070
cz34002,Idabel,28047
cz3800,Lafayette,28007
cz1701,Raleigh,28002
cz16000,Mansfield,27947
cz37100,Bakersfield,27925
cz28401,Colorado Springs,27915
cz11304,Washington,27824
cz33100,Dallas,27776
cz12301,Traverse City,27748
cz7500,Deltona,27699
cz30502,Enid,27668
cz22200,Cedar Rapids,27647
cz1002,Morganton,27639
cz19400,New York,27507
cz11900,Saginaw,27502
cz10502,Starkville,27448
cz17400,Hagerstown,27407
cz11101,Montgomery,27297
cz22100,Iowa City,27270
cz31900,Pearland,27253
cz30403,Okmulgee,27232
cz36200,Logan,27226
cz24400,Rockford,27093
cz33601,Lawton,27060
cz12901,Lexington-Fayette,27045
cz33901,Ada,27037
cz10700,Birmingham,27011
cz35201,Grand Junction,27003
cz30401,Stillwater,26996
cz26303,Turtle Mountain UT,26964
cz7000,Miami,26916
cz3700,Lake Charles,26913
cz19200,Harrisburg,26875
cz38501,Moses Lake,26839
cz9600,LaGrange,26829
cz34114,Unalaska,26815
cz6200,Florence,26665
cz8900,Macon,26655
cz20500,Boston,26642
cz33200,Paris,26619
cz9900,Tallahassee,26608
cz33803,Oklahoma City,26558
cz38902,Newport,26556
cz36902,Roseburg,26529
cz21002,Houghton,26512
cz14000,Muncie,26384
cz19600,Newark,26367
cz26501,Brookings,26091
cz38601,Spokane,26085
cz22900,La Crosse,26068
cz36402,Vernal,26059
cz38300,Los Angeles,26052
cz38200,Santa Barbara,25990
cz23100,Madison,25969
cz36501,Klamath Falls,25946
cz20001,Bangor,25877
cz12402,Grayling charter,25873
cz7400,Orlando,25867
cz16901,Charleston,25854
cz37200,Fresno,25840
cz30801,Hobbs,25825
cz20901,Bridgeport,25807
cz12302,Petoskey,25805
cz2000,Virginia Beach,25785
cz37903,Mammoth Lakes,25734
cz12200,Grand Rapids,25698
cz35402,Cortez,25674
cz37901,Las Vegas,25672
cz39201,La Grande,25659
cz27801,Columbus-Norfolk,25633
cz13000,Elizabethtown,25628
cz24701,St. Louis,25626
cz36600,Redding,25604
cz39203,Bend,25556
cz15900,Columbus,25510
cz3300,New Orleans,25482
cz13101,Louisville,25458
cz19800,Wilmington,25402
cz20100,Portland,25342
cz5202,Memphis,25316
cz35801,Boise City,25288
cz37400,Sacramento,25225
cz25701,Cape Girardeau,25172
cz37700,Santa Rosa,25172
cz34110,Sitka,25147
cz31700,Corpus Christi,25132
cz4200,Little Rock,25131
cz29602,Eldon,25131
cz33802,Chickasha,25124
cz7600,Jacksonville,25102
cz31800,College Station,25091
cz29502,Kansas City,24966
cz37800,San Francisco,24937
cz38602,Colville,24936
cz22500,Oshkosh,24919
cz34001,Hot Springs,24852
cz6401,Chattanooga,24744
cz29601,Columbia,24709
cz18201,Olean,24705
cz36404,Rock Springs,24659
cz37300,Chico,24608
cz13600,South Bend,24600
cz37604,Reno,24547
cz38401,Lewiston,24504
cz6800,Lakeland,24470
cz2500,Newport News,24421
cz38700,Longview,24400
cz16300,Pittsburgh,24372
cz4302,Searcy,24279
cz36000,Provo,24264
cz8000,Sumter,24263
cz38801,Portland,24246
cz12100,Kalamazoo,24101
cz6600,Rome,24071
cz15200,Cleveland,23977
cz31201,Austin,23968
cz16600,Roanoke,23912
cz1800,Goldsboro,23820
cz26704,Grand Forks,23795
cz24500,Rolla,23760
cz10600,Jasper,23593
cz9100,Atlanta,23585
cz35401,Flagstaff,23497
cz7900,Gainesville,23455
cz6700,Tampa,23427
cz15300,Parkersburg,23364
cz18300,Watertown,23331
cz19300,Poughkeepsie,23181
cz3901,Monroe,23176
cz26410,Dickinson,23165
cz20401,Providence,23164
cz24300,Chicago,23136
cz24802,Springfield,23111
cz34108,Kodiak,23105
cz5600,Nashville,23075
cz1500,Wilmington,22963
cz5900,Clarksville,22945
cz30901,Clovis,22937
cz2400,Richmond,22927
cz9701,Columbus,22909
cz24100,Milwaukee,22850
cz23500,Decatur,22837
cz27701,Scottsbluff,22779
cz38901,Eugene,22744
cz32900,Killeen,22678
cz37000,Modesto,22673
cz34103,Valdez,22665
cz12401,Alpena,22643
cz29201,Hiawatha,22606
cz33300,Tyler,22574
cz29301,Wichita,22511
cz14500,Lafayette,22419
cz401,Winston-Salem,22370
cz18000,Buffalo,22213
cz35901,St. George,22168
cz26406,Wolf Point,22140
cz12002,Ludington,22132
cz23600,Burlington,22126
cz29504,Sedalia,22102
cz30903,Amarillo,22095
cz29700,Springfield,22064
cz14200,Indianapolis,22062
cz27004,Winner,22052
cz29204,Topeka,21959
cz11402,Marinette,21871
cz36700,Eureka,21848
cz28900,Denver,21844
cz14400,Terre Haute,21815
cz11302,Baltimore,21774
cz27101,Willmar,21753
cz39400,Seattle,21674
cz31600,Brownsville,21562
cz17700,Syracuse,21539
cz8800,Savannah,21513
cz35300,Farmington,21503
cz19700,Philadelphia,21488
cz1400,Fayetteville,21426
cz10801,Tuscaloosa,21313
cz34404,Butte-Silver Bow,21299
cz36901,Crescent City,21284
cz25103,Harrison,21263
cz2600,Roanoke Rapids,21196
cz34504,Missoula,21164
cz36100,Salt Lake City,21139
cz34701,Honolulu,21076
cz11600,Detroit,21072
cz29203,Manhattan,20997
cz34304,Sheridan,20991
cz3003,Jackson,20982
cz1600,Wilson,20980
cz8300,Greenville,20968
cz10900,Pensacola,20822
cz21001,Ashland,20774
cz7300,Palm Bay,20732
cz27501,Des Moines,20631
cz20200,Burlington,20624
cz26901,Fergus Falls,20547
cz28001,Sioux City,20526
cz8100,Columbia,20420
cz22800,Eau Claire,20338
cz1100,Hickory,20286
cz900,Charlotte,20273
cz32301,San Angelo,20271
cz22602,Shawano,20194
cz34203,Great Falls,20138
cz14100,Fort Wayne,19974
cz7800,Ocala,19971
cz17600,Charlottesville,19909
cz36800,Medford,19830
cz34402,Bozeman,19773
cz11700,Lansing,19769
cz34202,Shelby,19672
cz8401,Aiken,19635
cz27011,Pierre,19613
cz34503,Kalispell,19567
cz22601,Green Bay,19539
cz21900,Marshalltown,19530
cz1302,Florence,19314
cz15700,Scioto,19290
cz34102,Anchorage,19218
cz27005,Yankton,19194
cz11301,Fredericksburg,19130
cz26002,Duluth,19128
cz28502,Pueblo,19074
cz100,Johnson City,19058
cz200,Morristown,19028
cz16500,Erie,19006
cz29800,Aurora,18958
cz30602,Alamogordo,18924
cz39100,Kennewick,18909
cz10302,Dothan,18831
cz34111,Ketchikan,18757
cz800,Gastonia,18736
cz35500,Gallup,18634
cz10400,Meridian,18610
cz34603,Casper,18569
cz6900,Sarasota,18468
cz15000,Canton,18453
cz302,Knoxville,18404
cz12701,Cincinnati,18356
cz34115,Fairbanks,18282
cz14600,Bloomington,18244
cz34403,Helena,18136
cz20003,Presque Isle,18133
cz1301,Bennettsville,18097
cz34901,Albuquerque,17968
cz26605,Aberdeen,17801
cz38100,Yuma,17730
cz24000,Kenosha,17717
cz32801,Waco,17706
cz38802,The Dalles,17696
cz34303,Riverton,17659
cz34802,Santa Fe,17652
cz34201,Havre,17593
cz1900,Jacksonville,17580
cz21701,Rochester,17524
cz22700,Wausau,17437
cz35001,Phoenix,17399
cz35100,Tucson,17371
cz500,Greensboro,17232
cz25900,Jonesboro,17229
cz26304,Minot,17177
cz12501,Dayton,17140
cz29401,Ottawa,17133
cz34107,Dillingham,17107
cz21301,Mankato,16957
cz26801,Fargo,16944
cz28202,Omaha,16935
cz35002,Safford,16851
cz25702,Poplar Bluff,16731
cz27006,Mitchell,16705
cz21502,Pine City,16678
cz27704,Gordon,16630
cz34109,Juneau,16624
cz39303,Port Angeles,16595
cz21501,Minneapolis,16586
cz35702,Burley,16537
cz27601,Rapid City,16429
cz21102,Amery,16340
cz27602,Eagle Butte,16319
cz34308,Billings,16288
cz26701,Bemidji,16166
cz36301,Pocatello,16145
cz28101,Lincoln,16127
cz27009,Chamberlain,16055
cz1203,Asheville,16042
cz26201,Bismarck,15932
cz5500,Columbia,15923
cz39302,Bellingham,15884
cz35802,Ontario,15882
cz21101,Rice Lake,15749
cz34902,Socorro,15554
cz37601,Elko,15484
cz26503,Sioux Falls,15430
cz21600,Brainerd,15368
cz39000,Yakima,15278
cz26408,Glasgow,15228
cz13800,Wayne,15119
cz35904,Richfield,15048
cz34307,Colstrip,15030
cz26603,East Corson UT,14903
cz34105,Kotzebue,14666
cz27702,Cheyenne,14649
cz26602,Sisseton,14622
cz29302,Newton,14587
cz18400,Plattsburgh,14442
cz13501,Toledo,13778
cz34101,Sand Point,13498
cz34113,Barrow,13214
cz28002,West Point,12501
cz4102,Pine Bluff,12331
cz26504,Watertown,12115
cz35902,Price,12097
cz26301,Devils Lake,11670
cz34112,Bethel,11616
cz34106,Nome,11125
cz27008,Parkston,11037
cz26604,Mobridge,10374
cz14700,Evansville,9971
cz21400,St. Cloud,9237
cz27605,Mission,9155
cz17100,Huntington,6911
cz301,Middlesborough,
cz402,Martinsville,
cz601,North Wilkesboro,
cz602,Galax,
cz1001,Boone,
cz1201,Franklin,
cz1204,Andrews,
cz2100,Washington,
cz2200,South Boston,
cz2800,Laurel,
cz2900,Hattiesburg,
cz3001,Kosciusko,
cz3002,Yazoo City,
cz3101,McComb,
cz3102,Brookhaven,
cz3202,Natchez,
cz3203,Vicksburg,
cz3902,Lake Providence,
cz4001,Magnolia,
cz4003,Ruston,
cz4101,Crossett,
cz4103,El Dorado,
cz4301,Stuttgart,
cz4401,London,
cz4402,Richmond,
cz4501,West Liberty,
cz4502,Hazard,
cz4601,Campbellsville,
cz4602,Somerset,
cz4701,Greenwood,
cz4702,Clarksdale,
cz4800,Greenville,
cz4901,Jackson,
cz4902,Dyersburg,
cz4903,Lexington,
cz5000,Tupelo,
cz5100,Corinth,
cz5201,New Albany,
cz5300,West Memphis,
cz5401,Bowling Green,
cz5402,Glasgow,
cz5700,Tullahoma,
cz6301,McMinnville,
cz6302,Cookeville,
cz6402,Crossville,
cz6501,Ellijay,
cz8201,Barnwell,
cz8402,Washington,
cz8501,Fitzgerald,
cz8502,Cordele,
cz8601,Waycross,
cz8602,Brunswick,
cz8701,Hinesville,
cz8702,Statesboro,
cz9001,Vidalia,
cz9002,Milledgeville,
cz9003,Dublin,
cz9200,Griffin,
cz9301,Winder,
cz9302,Toccoa,
cz9500,Talladega,
cz9702,Americus,
cz9800,Auburn,
cz10101,Bainbridge,
cz10102,Thomasville,
cz10200,Albany,
cz10301,Eufaula,
cz10501,Columbus,
cz10802,Demopolis,
cz11201,Bluefield,
cz11202,Welch,
cz11203,Big Stone Gap,
cz11303,Colonial Beach,
cz12502,Washington Court House,
cz12600,Wayne,
cz12702,Maysville,
cz12800,Washington,
cz12902,Mount Sterling,
cz12903,Danville,
cz13102,Madison,
cz13103,Bardstown,
cz13200,Owensboro,
cz13300,Findlay,
cz13400,Lima,
cz13502,Defiance,
cz14300,Columbus,
cz14801,Olney,
cz14802,Vincennes,
cz15400,Zanesville,
cz15500,Steubenville,
cz15600,Wheeling,
cz15800,Athens,
cz16100,State College,
cz16200,Altoona,
cz16701,Elkins,
cz16702,Morgantown,
cz16703,Buckhannon,
cz16801,Beckley,
cz16802,Summersville,
cz16902,Spencer,
cz17000,Pikeville,
cz17200,Harrisonburg,
cz17300,Staunton,
cz17501,Cumberland,
cz17502,Winchester,
cz17800,Oneonta,
cz17900,Union,
cz18202,St. Marys,
cz18500,Amsterdam,
cz18700,Sunbury,
cz18900,Williamsport,
cz19902,Easton,
cz19903,Chincoteague,
cz20301,Berlin,
cz20403,Oak Bluffs,
cz20700,Keene,
cz20902,Pittsfield,
cz21003,Ironwood,
cz21201,Hutchinson,
cz21302,Owatonna,
cz21702,Austin,
cz21801,Mason City,
cz21802,Decorah,
cz22001,Waterloo,
cz22002,Iowa Falls,
cz22300,Ottumwa,
cz23000,Monroe,
cz23200,Dubuque,
cz23301,Charleston,
cz23302,Douglas,
cz23400,Bloomington,
cz23700,Galesburg,
cz23802,Clinton,
cz24200,Bourbonnais,
cz24600,Farmington,
cz24702,Mexico,
cz24801,Jacksonville,
cz25000,Quincy,
cz25101,Mountain Home,
cz25104,Heber Springs,
cz25105,Batesville,
cz25200,Henderson,
cz25300,Union City,
cz25401,Paducah,
cz25402,Murray,
cz25500,Centralia,
cz25601,Carbondale,
cz25602,Harrisburg,
cz25800,Blytheville,
cz26001,Roseau,
cz26004,International Falls,
cz26101,Moberly,
cz26102,Marshall,
cz26103,Brookfield,
cz26104,Trenton,
cz26105,Polk,
cz26106,Centerville,
cz26107,Kirksville,
cz26409,Glendive,
cz26502,Madison,
cz26601,Milbank,
cz26702,Grafton,
cz26703,Thief River Falls,
cz26802,Lisbon,
cz26803,Jamestown,
cz26902,Little Falls,
cz27001,O'Neill,
cz27007,Huron,
cz27102,Marshall,
cz27201,Sioux Center,
cz27202,Worthington,
cz27301,Spencer,
cz27302,Fairmont,
cz27401,Storm Lake,
cz27402,Fort Dodge,
cz27502,Creston,
cz27503,Atlantic,
cz27504,Carroll,
cz27703,Torrington,
cz27802,Columbus,
cz27901,Hastings,
cz27903,Grand Island,
cz28102,Nebraska City,
cz28201,Red Oak,
cz28301,Sterling,
cz28302,Ogallala,
cz28304,Valentine,
cz28305,Broken Bow,
cz28306,North Platte,
cz28503,Trinidad,
cz28603,Phillipsburg,
cz28605,Goodland,
cz28608,Kearney,
cz28609,Lexington,
cz28701,Salida,
cz28702,Glenwood Springs,
cz28704,Laramie,
cz29003,Dodge City,
cz29004,Great Bend,
cz29006,Hays,
cz29101,Concordia,
cz29103,Beloit,
cz29104,Salina,
cz29202,Marysville,
cz29402,Emporia,
cz29505,Polk,
cz29506,Bethany,
cz29902,Center,
cz30603,Truth or Consequences,
cz30604,Deming,
cz30902,Littlefield,
cz30906,Memphis,
cz30908,Plainview,
cz31001,Garden City,
cz31002,Ulysses,
cz31004,Liberal,
cz31005,Perryton,
cz31006,Guymon,
cz31007,Dumas,
cz31102,La Grange,
cz31103,Gonzales,
cz31202,Burnet,
cz31302,Beeville,
cz31303,Kerrville,
cz31402,Pecos,
cz31403,Fort Stockton,
cz31404,Alpine,
cz31501,Crystal City,
cz31502,Pearsall,
cz31503,Laredo,
cz32202,Nacogdoches,
cz32302,Brady,
cz32303,Junction,
cz32304,Uvalde,
cz32305,Del Rio,
cz32306,Eagle Pass,
cz32401,Big Spring,
cz32402,Sweetwater,
cz32403,Snyder,
cz32502,Childress,
cz32602,Graham,
cz32604,Vernon,
cz32701,Brownwood,
cz32702,Stephenville,
cz32802,Corsicana,
cz34204,Lewistown,
cz34301,Cody,
cz34305,Miles City,
cz34401,Dillon,
cz34502,Libby,
cz34702,Kapaa,
cz34703,Kahului,
cz34801,Las Vegas,
cz34803,Tucumcari,
cz34804,Clayton,
cz35202,Gunnison,
cz35600,Hilo,
cz35903,Moab,
cz36302,Salmon,
cz36401,Steamboat Springs,
cz36403,Soda Springs,
cz36502,Burns,
cz38402,Pullman,
cz39205,John Day,
cz20402,Nantucket,
cz21202,Redwood Falls,
cz26305,Rugby,
cz26404,Lemmon,
cz27002,Ord,
cz27902,York,
cz28604,Colby,
cz28607,McCook,
cz29001,Pratt,
cz29102,Superior,
cz32503,Haskell,
cz33603,Frederick,
cz34302,Worland,
cz34602,Rawlins,
cz36503,Lakeview,
cz37602,Winnemucca,
cz39301,Friday Harbor,
cz27010,Miller,
cz31003,Scott City,
cz27603,Southwest Jackson UT,
cz26402,Baker,
cz31304,Mason,
cz26003,West Cook UT,
cz34104,Bristol Bay,
cz29002,Coldwater,
cz30907,Matador,
cz26204,Steele,
cz26403,Bowman,
cz27012,Gettysburg,
cz39204,Condon,
cz37902,Reno,
cz30905,Wellington,
cz26401,Ekalaka,
cz34309,Harlowton,
cz26203,Linton,
cz28602,Norton,
cz28606,Wano,
cz26302,Carrington,
cz28402,Limon,
cz27003,Ainsworth,
cz28703,Granby,
cz34501,Bonners Ferry,
cz26804,Cooperstown,
cz29008,Center,
cz34604,Lusk,
cz34306,Jordan,
cz26202,East Grant UT,
cz3201,Jena,
cz29007,Township 11,
cz28504,Burlington,
cz35803,McCall,
cz28601,Oberlin,
cz26405,Scobey,
cz32603,Seymour,
cz39202,Enterprise,
cz36303,Jackson,
cz26407,Plentywood,
cz35905,Loa,
cz27604,Murdo,
cz28501,Springfield,
cz37603,Portola,
cz28303,Oshkosh,
cz30702,Santa Rosa,
cz30605,Van Horn,
